ReportingDate,SaleMonth,Store,Artist,Title,ISRC,UPC,Quantity,TeamPercentage,SongAlbum,CountryofSale,SongwriterRoyaltiesWithheld,EarningsUSD
2023-08-24,202307,YouTube (Red),Satanic Goose,"Stone Forest, Sonya Repeats The Question",QZNWV2132647,196510358769,1,100,Song,US,0,0.00599618
2023-08-24,202307,YouTube (Red),Satanic Goose,33 August Of Non-Existent Summer,QZNWV2132639,196510358769,2,100,Song,US,0,0.01199236
2023-08-24,202307,YouTube (Red),Satanic Goose,Into The Abyss Of Dark Spaces,QZNWV2132646,196510358769,1,100,Song,US,0,0.00599618
2023-08-24,202307,YouTube (Red),Satanic Goose,Tell Me Where Are The Black Lakes Here,QZNWV2132648,196510358769,1,100,Song,US,0,0.00599618
2023-08-24,202307,YouTube (Red),Satanic Goose,Crippled Autumn,QZNWV2132643,196510358769,1,100,Song,US,0,0.00599618
2023-08-24,202307,YouTube (Red),Satanic Goose,Ice Crowns Crumbling Into Snow Dust,QZNWV2132645,196510358769,1,100,Song,US,0,0.00599618
2023-08-24,202307,YouTube (Red),Satanic Goose,The Cold Sky Lights Up Pale Pink,QZNWV2132649,196510358769,1,100,Song,US,0,0.00599618
2023-08-24,202307,YouTube (Red),Satanic Goose,"And If Anyone Wants To Offend Them, Then The Fire Will Come Out Of The Mouth",QZNWV2132642,196510358769,1,100,Song,US,0,0.00599618
2023-08-24,202307,YouTube (Red),Satanic Goose,Wounded Animal In The Rain,QZNWV2132650,196510358769,1,100,Song,US,0,0.00599618
2023-09-21,202207,Facebook,Satanic Goose,destroyed sin,QZK6M2275619,197044541771,8,100,Song,OU,0,0.00000261
2023-09-21,202207,Facebook,Satanic Goose,destroyed sin,QZK6M2275619,197044541771,6,100,Song,US,0,0.00000195
2023-09-21,202207,Facebook,Satanic Goose,heavy spirit,QZK6P2229211,196865079630,16,100,Song,OU,0,0.00000521
2023-09-21,202207,Facebook,Satanic Goose,Deep In The Old Castle,QZNWV2193343,196510010728,67,100,Song,OU,0,0.00002182
2023-09-21,202207,Facebook,Satanic Goose,Deep In The Old Castle,QZNWV2193343,196510010728,30,100,Song,US,0,0.00000977
2023-09-21,202207,Facebook,Satanic Goose,Ice Crowns Crumbling Into Snow Dust,QZNWV2132645,196510358769,216,100,Song,OU,0,0.00007034
2023-09-21,202207,Facebook,Satanic Goose,Ice Crowns Crumbling Into Snow Dust,QZNWV2132645,196510358769,11,100,Song,US,0,0.00000358
2023-09-21,202207,Facebook,Satanic Goose,At Snowy Night,QZRP52164365,196623934591,9778,100,Song,OU,0,0.00318409
2023-09-21,202207,Facebook,Satanic Goose,At Snowy Night,QZRP52164365,196623934591,14,100,Song,US,0,0.00000456
2023-09-21,202208,Facebook,Satanic Goose,Sad Ghost In Old Fortress,QZNWV2193341,196510010728,15,100,Song,OU,0,0.0000064
2023-09-21,202208,Facebook,Satanic Goose,Fear Is Little Flowers Under Your Feet,QZDA42240446,196777429240,92,100,Song,OU,0,0.00003923
2023-09-21,202208,Facebook,Satanic Goose,Fear Is Little Flowers Under Your Feet,QZDA42240446,196777429240,3,100,Song,US,0,0.00000128
2023-09-21,202208,Facebook,Satanic Goose,destroyed sin,QZK6M2275619,197044541771,2,100,Song,OU,0,0.00000085
2023-09-21,202208,Facebook,Satanic Goose,destroyed sin,QZK6M2275619,197044541771,1,100,Song,US,0,0.00000043
2023-09-21,202208,Facebook,Satanic Goose,heavy spirit,QZK6P2229211,196865079630,1,100,Song,OU,0,0.00000043
2023-09-21,202208,Facebook,Satanic Goose,Deep In The Old Castle,QZNWV2193343,196510010728,80,100,Song,OU,0,0.00003411
2023-09-21,202208,Facebook,Satanic Goose,Deep In The Old Castle,QZNWV2193343,196510010728,127,100,Song,US,0,0.00005415
2023-09-21,202208,Facebook,Satanic Goose,Ice Crowns Crumbling Into Snow Dust,QZNWV2132645,196510358769,156,100,Song,OU,0,0.00006652
2023-09-21,202208,Facebook,Satanic Goose,At Snowy Night,QZRP52164365,196623934591,924,100,Song,OU,0,0.000394
2023-09-21,202209,Facebook,Satanic Goose,Sad Ghost In Old Fortress,QZNWV2193341,196510010728,40,100,Song,OU,0,0.00001833
2023-09-21,202209,Facebook,Satanic Goose,Fear Is Little Flowers Under Your Feet,QZDA42240446,196777429240,83,100,Song,OU,0,0.00003804
2023-09-21,202209,Facebook,Satanic Goose,Fear Is Little Flowers Under Your Feet,QZDA42240446,196777429240,1,100,Song,US,0,0.00000046
2023-09-21,202209,Facebook,Satanic Goose,Looking To The Past,QZES82233902,196835145891,216,100,Song,OU,0,0.00009898
2023-09-21,202209,Facebook,Satanic Goose,destroyed sin,QZK6M2275619,197044541771,176,100,Song,OU,0,0.00008065
2023-09-21,202209,Facebook,Satanic Goose,destroyed sin,QZK6M2275619,197044541771,16,100,Song,US,0,0.00000733
2023-09-21,202209,Facebook,Satanic Goose,heavy spirit,QZK6P2229211,196865079630,2,100,Song,OU,0,0.00000092
2023-09-21,202209,Facebook,Satanic Goose,Deep In The Old Castle,QZNWV2193343,196510010728,89,100,Song,OU,0,0.00004079
2023-09-21,202209,Facebook,Satanic Goose,Deep In The Old Castle,QZNWV2193343,196510010728,31,100,Song,US,0,0.00001421
2023-09-21,202209,Facebook,Satanic Goose,Ice Crowns Crumbling Into Snow Dust,QZNWV2132645,196510358769,388,100,Song,OU,0,0.00017781
2023-09-21,202209,Facebook,Satanic Goose,Ice Crowns Crumbling Into Snow Dust,QZNWV2132645,196510358769,34,100,Song,US,0,0.00001558
2023-09-21,202209,Facebook,Satanic Goose,infinite hollow,QZNWT2247355,197147477212,1,100,Song,OU,0,0.00000046
